originals	tokenized
duZdop	d u Z d o p
hokoy	h o k o y
dop	d o p
dof	d o f
iw7~isi	i w7~ i s i
p3l3kki	p 3 l 3 k k i
ikwisi	i k w i s i
p3L3	p 3 L 3
p3l3	p 3 l 3
iwwiCi	i w w i C i
il	i l
wel	w e l
wel	w e l
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
ku	k u
nomu	n o m u
nomu	n o m u
nomu	n o m u
su	s u
numiN	n u m i N
num	n u m
numun	n u m u n
num	n u m
nunlun	n u n l u n
numy~uN	n u my~ u N
nomu	n o m u
numi	n u m i
nun	n u n
numuN	n u m u N
numin	n u m i n
numy~uN	n u my~ u N
masi	m a s i
Zw~ra	Zw~ r a
Zw~ra	Zw~ r a
y3Sw~3n	y 3 Sw~ 3 n
y3f3n	y 3 f 3 n
jw~a	jw~ a
c"arurutLa	c" a r u r u t L a
LurutLa	L u r u t L a
c"adu	c" a d u
Libdu	L i b d u
hEq"EzE	h E q" E z E
q"Ede	q" E d e
q"En	q" E n
q"E	q" E
hEq"E	h E q" E
q"E	q" E
hEq"E	h E q" E
q"ulo	q" u l o
q"E	q" E
c"adu	c" a d u
q"in	q" i n
c"ela	c" e l a
s"Ela	s" E l a
XutL~al	X u tL~ a l
xuLo	x u L o
Xudi	X u d i
Xela	X e l a
Xudila	X u d i l a
Xudi	X u d i
Xabi	X a b i
ga	g a
XutL~	X u tL~
XutL~	X u tL~
c"araLa	c" a r a L a
c"oda	c" o d a
XatL~u	X a tL~ u
c"ar	c" a r
XatL~u	X a tL~ u
c"ar	c" a r
XeLa	X e L a
caLa	c a L a
c"al	c" a l
XatL~u	X a tL~ u
uZEs	u Z E s
uC	u C
erC	e r C
uC	u C
eC	e C
XX~aC"an	XX~ a C" a n
XX~aC"lan	XX~ a C" l a n
uC	u C
erC	e r C
uC	u C
uC	u C
erC	e r C
uXas	u X a s
Xubus	X u b u s
c"abus	c" a b u s
c"abus	c" a b u s
sEXirji	s E X i r j i
cuvi	c u v i
cuvri	c u v r i
G3rju	G 3 r j u
Xowa	X o w a
qun	q u n
Xun	X u n
qun	q u n
uw	u w
h3q3r	h 3 q 3 r
rX~aXas	rX~ a X a s
uXub	u X u b
uqub	u q u b
ul3Xas	u l 3 X a s
ily~oXas	i ly~ o X a s
usun	u s u n
mal	m a l
maLar	m a L a r
mala	m a l a
mala	m a l a
sma	s m a
Sum	S u m
Suma	S u m a
swam	s w a m
swm	s w m
tr	t r
mEn	m E n
min	m i n
delen	d e l e n
delen	d e l e n
oNX~	o NX~
naN	n a N
un	u n
un	u n
on	o n
ona	o n a
one	o n e
un	u n
unn	u n n
un	u n
unn	u n n
un	u n
unn	u n n
un	u n
unba	u n b a
un	u n
goh	g o h
un	u n
unn	u n n
un	u n
unn	u n n
un	u n
un	u n
ut	u t
unn	u n n
un	u n
unn	u n n
un	u n
un	u n
unn	u n n
un	u n
tragu	t r a g u
tagu	t a g u
unn	u n n
un	u n
ulu	u l u
kudi	k u d i
kudi	k u d i
kuyri	k u y r i
kudi	k u d i
kudi	k u d i
ulu	u l u
par3	p a r 3
kuti	k u t i
kuti	k u t i
kuti	k u t i
kudt	k u d t
un	u n
3*	3*
u*	u*
u	u
u	u
oN	o N
e*	e*
u	u
u*	u*
3*	3*
u*	u*
u	u
u*	u*
3*	3*
u*	u*
u*	u*
u*	u*
u*	u*
oN	o N
u	u
u	u
u	u
u* sy~i	u*   sy~ i
e*	e*
u	u
u	u
u	u
xu	x u
u	u
nd~u	nd~ u
nd~o	nd~ o
nd~u	nd~ u
tugno	t u g n o
tu5mo	t u 5 m o
duNma	d u N m a
th~u*	th~ u*
tuN	t u N
th~uN	th~ u N
tuN	t u N
am	a m
ton	t o n
to*ita	t o* i t a
t3 n3	t 3   n 3
tiNni	t i N n i
tugne	t u g n e
th~uN	th~ u N
th~uN	th~ u N
thuqm	t h u q m
th~u*	th~ u*
tucap	t u c a p
tucam	t u c a m
th~uN	th~ u N
th~uN	th~ u N
tu	t u
o	o
o	o
tuN	t u N
du	d u
th~uN	th~ u N
th~uN	th~ u N
th~uN	th~ u N
duN mete	d u N   m e t e
th~uN	th~ u N
ga	g a
ga	g a
th~uN	th~ u N
nth$oN	nth$ o N
th~un	th~ u n
th~uN	th~ u N
duNo	d u N o
th~uN	th~ u N
duN	d u N
hop	h o p
th~uN	th~ u N
tuN	t u N
jhum	j h u m
jaya	j a y a
th~aN	th~ a N
dugnu	d u g n u
th~uN	th~ u N
tu	t u
tuCa	t u C a
o	o
th~uN	th~ u N
th~uN	th~ u N
th~uN3	th~ u N 3
th~uN	th~ u N
a*th~uN	a* th~ u N
cam	c a m
tu	t u
th~uN	th~ u N
r3N	r 3 N
r3N	r 3 N
ni	n i
luN	l u N
riN	r i N
l3N	l 3 N
l3N	l 3 N
uN	u N
nuN	n u N
l3N	l 3 N
So7	S o 7
do	d o
taN	t a N
tu	t u
suak	s u a k
tu	t u
nd~o	nd~ o
do	d o
to	t o
do	d o
So7	S o 7
t3	t 3
t3	t 3
tu	t u
to	t o
do	d o
do	d o
du	d u
Sio7	S i o 7
Suk	S u k
do	d o
do	d o
Saut	S a u t
tv~	tv~
toN	t o N
du	d u
nd~o	nd~ o
sh~u7	sh~ u 7
Sau	S a u
ta* s3	t a*   s 3
sok	s o k
mdaN	m d a N
mdoN	m d o N
ndo	n d o
CZ~	CZ~
tv~	tv~
su7	s u 7
nd~o	nd~ o
t8~ou7	t8~ o u 7
Su7	S u 7
lim	l i m
yam	y a m
cia7	c i a 7
cia7	c i a 7
cuok	c u o k
ch~iok	ch~ i o k
soi	s o i
yim	y i m
xo	x o
he	h e
he	h e
em	e m
3m7~	3 m7~
ieN	i e N
yeN	y e N
Ch~E7	Ch~ E 7
Ch~ie	Ch~ i e
Ch~a	Ch~ a
th~uN	th~ u N
th~uN	th~ u N
tioN	t i o N
tim	t i m
lu7	l u 7
lu7	l u 7
o	o
o	o
3	3
ua7	u a 7
o	o
au	a u
o	o
o	o
o	o
o	o
o	o
waugh~	w a u gh~
din	d i n
don	d o n
dohn	d o h n
in	i n
T3N	T 3 N
jun	j u n
so	s o
in	i n
in	i n
tak	t a k
niN	n i N
kra	k r a
Sak	S a k
yu	y u
So	S o
sak	s a k
maN	m a N
sak	s a k
Cu	C u
s3	s 3
tuyin	t u y i n
in	i n
yoN	y o N
si	s i
Su	S u
maN	m a N
sak	s a k
youN	y o u N
sak	s a k
th~aN	th~ a N
th~oN	th~ o N
im	i m
th~3	th~ 3
th~u	th~ u
yuN	y u N
yuN	y u N
yiN	y i N
yuN	y u N
Zok	Z o k
yiN	y i N
yiN	y i N
liN	l i N
yiN	y i N
liN	l i N
luN	l u N
liN	l i N
niN	n i N
aNu	a N u
Na7	N a 7
aN	a N
a	a
th~E*	th~ E*
th~i	th~ i
Ci	C i
qu	q u
qo	q o
th~ie	th~ i e
Ch~e	Ch~ e
Ch~3	Ch~ 3
suqu	s u q u
Ch~e	Ch~ e
th~i	th~ i
mot	m o t
komot	k o m o t
am	a m
daN	d a N
j3m	j 3 m
mtuN	m t u N
liN	l i N
luN	l u N
am	a m
t3	t 3
ta*	t a*
tinon	t i n o n
tuN	t u N
tuN	t u N
tauN	t a u N
ti	t i
tidu	t i d u
taNduNnam	t a N d u N n a m
taNna	t a N n a
tin	t i n
tuN	t u N
xu	x u
naN	n a N
iN	i N
rin	r i n
h3u	h 3 u
h3p	h 3 p
ho	h o
hop	h o p
hu	h u
hou	h o u
hup	h u p
hop	h o p
hup	h u p
ho	h o
ho	h o
hop	h o p
hop	h o p
hau	h a u
hou	h o u
h3	h 3
hw~3	hw~ 3
hu	h u
hu	h u
hu	h u
ho	h o
h3u	h 3 u
xo	x o
xo	x o
ho	h o
hau	h a u
hau	h a u
hau	h a u
hup	h u p
hop	h o p
hop	h o p
hop	h o p
hau	h a u
hau	h a u
hau	h a u
h3n	h 3 n
hou	h o u
hop	h o p
hau	h a u
hu	h u
hu	h u
h3	h 3
hop	h o p
ho	h o
hau	h a u
ny~au	ny~ a u
kun	k u n
ch~3p	ch~ 3 p
ch~3p	ch~ 3 p
ikau	i k a u
runh	r u n h
8am	8 a m
qaZot	q a Z o t
Z3N	Z 3 N
ch~ep	ch~ e p
zot	z o t
zo	z o
sen	s e n
han	h a n
han	h a n
xuN	x u N
ko	k o
hop	h o p
zan	z a n
hop	h o p
qaZot	q a Z o t
xa	x a
qaN	q a N
XaN	X a N
zon	z o n
8am	8 a m
hr~om	hr~ o m
hrom	h r o m
hom	h o m
ko	k o
ham	h a m
haN	h a N
c3	c 3
c3	c 3
ut	u t
3k	3 k
lut	l u t
kin	k i n
hxop	h x o p
lum	l u m
kon	k o n
Zum	Z u m
kin	k i n
kun	k u n
kun	k u n
7d~ot	7d~ o t
dum	d u m
kin	k i n
kin	k i n
hip	h i p
lum	l u m
ti	t i
kin	k i n
kun	k u n
dut	d u t
z3m	z 3 m
Z3m	Z 3 m
kin	k i n
kin	k i n
dum	d u m
k3n	k 3 n
kon	k o n
kun	k u n
kin	k i n
dit	d i t
loy	l o y
hoop	h o o p
suu	s u u
sut	s u t
lut	l u t
kin	k i n
na	n a
sot	s o t
cin	c i n
hx~op	hx~ o p
ky~un	ky~ u n
sot	s o t
ok	o k
kin nam	k i n   n a m
kon	k o n
trwap	t r w a p
cum	c u m
hop	h o p
kin	k i n
xum	x u m
sh~ot	sh~ o t
kin	k i n
kun	k u n
det	d e t
ken	k e n
x3m	x 3 m
m3k	m 3 k
wum	w u m
xum	x u m
kin	k i n
kin	k i n
z3m	z 3 m
z3m	z 3 m
rom	r o m
rom	r o m
d3m	d 3 m
d3m	d 3 m
kin	k i n
dum	d u m
wum	w u m
kun	k u n
dot	d o t
lun	l u n
ku	k u
kun	k u n
dum	d u m
nam	n a m
kin nam	k i n   n a m
kun	k u n
ci	c i
Lot	L o t
kin	k i n
lim	l i m
ty~aN	ty~ a N
ty~i	ty~ i
dot	d o t
kin	k i n
n3n	n 3 n
d3n	d 3 n
am	a m
7am	7 a m
uh	u h
w3h	w 3 h
huT	h u T
bu7	b u 7
bu7	b u 7
oN	o N
cadow	c a d o w
oN	o N
Nut	N u t
Nut	N u t
ja7oh	j a 7 o h
y7oh	y 7 o h
o*N	o* N
ok	o k
j37oh	j 3 7 o h
bu7	b u 7
5a	5 a
Et	E t
5et	5 e t
ok	o k
huC	h u C
hot	h o t
Net	N e t
hut	h u t
hut	h u t
ok	o k
Net	N e t
ok	o k
ok	o k
ok	o k
5et	5 e t
5et	5 e t
5et	5 e t
ok	o k
5et	5 e t
u	u
5it	5 i t
5et	5 e t
ok	o k
ou	o u
5o	5 o
on	o n
5et	5 e t
aiT	a i T
u7	u 7
NuaT	N u a T
Nuay7	N u a y 7
NoT	N o T
om	o m
NuaC	N u a C
N3NuaT	N 3 N u a T
NuaT	N u a T
NoT	N o T
Not	N o t
Noy7	N o y 7
NoT	N o T
th~EN	th~ E N
dih	d i h
di7	d i 7
di7	d i 7
de7	d e 7
ph~3k	ph~ 3 k
ph~3k	ph~ 3 k
ph~o7	ph~ o 7
huut	h u u t
huuT	h u u T
suN	s u N
suN	s u N
s3N	s 3 N
Ch~oN	Ch~ o N
ThoN	T h o N
ku3	k u 3
tophata	t o p h a t a
pi	p i
va	v a
ut	u t
th~a7y	th~ a 7 y
tal	t a l
tak	t a k
tal	t a l
ta7l	t a 7 l
tol	t o l
nha	n h a
tar	t a r
th~a7n	th~ a 7 n
nu	n u
5u	5 u
u7g	u 7 g
nu	n u
5u	5 u
ur	u r
g7a	g 7 a
u7d	u 7 d
nu	n u
5u	5 u
nu	n u
nu	n u
nu	n u
nu	n u
5u	5 u
5u	5 u
5u	5 u
jom	j o m
5u	5 u
u7	u 7
nu	n u
5u	5 u
ga7a	g a 7 a
ga	g a
teN	t e N
Nut	N u t
Non	N o n
rh~3p	rh~ 3 p
rhop	r h o p
tu7	t u 7
uak	u a k
33k	3 3 k
uk	u k
uk	u k
tEN	t E N
5u7	5 u 7
nth~3l	n th~ 3 l
o7	o 7
w3k	w 3 k
rh3p	r h 3 p
53	5 3
ToN	T o N
na	n a
rh~3p	rh~ 3 p
rh3p	r h 3 p
tEN	t E N
TuN	T u N
oN	o N
oN	o N
5u	5 u
5u	5 u
Nu	N u
uoN	u o N
uoN	u o N
uoN	u o N
weliT	w e l i T
wElej	w E l e j
poi kon	p o i   k o n
to ku	t o   k u
ko ku	k o   k u
poi	p o i
poi	p o i
welej	w e l e j
i5To	i 5 T o
i5Co	i 5 C o
i5y~o	i 5y~ o
ebogili	e b o g i l i
cixup	c i x u p
cix3p	c i x 3 p
sixup	s i x u p
mnubuax	m n u b u a x
hod	h o d
ma7abu7	m a 7 a b u 7
mimah	m i m a h
hud	h u d
manubw~ax	m a n u bw~ a x
mimah	m i m a h
mimah	m i m a h
mimah	m i m a h
nimah	n i m a h
mnbux	m n b u x
mnbu	m n b u
qu7	q u 7
qu7	q u 7
mimah	m i m a h
mimah	m i m a h
unu	u n u
inum	i n u m
mimah	m i m a h
hixup	h i x u p
inum	i n u m
mimah	m i m a h
inum	i n u m
inum	i n u m
inum	i n u m
inum	i n u m
minum	m i n u m
inum	i n u m
inum	i n u m
Ninem	N i n e m
Nin3m	N i n 3 m
ny~inim	ny~ i n i m
minum	m i n u m
kinum	k i n u m
No7o*t	N o 7 o* t
Norih	N o r i h
mihu*p	m i h u* p
Nihup	N i h u p
is3p	i s 3 p
isutr~u	i s u tr~ u
inu	i n u
inuna	i n u n a
igiaka	i g i a k a
migiaka	m i g i a k a
migiaka	m i g i a k a
migiaka	m i g i a k a
inu	i n u
mino	m i n o
inuna	i n u n a
isutr~u	i s u tr~ u
inu	i n u
mino	m i n o
isutr~u	i s u tr~ u
mino	m i n o
misotro	m i s o t r o
misotro	m i s o t r o
misotro	m i s o t r o
inu	i n u
itele	i t e l e
migiaka	m i g i a k a
mino	m i n o
migiaka	m i g i a k a
mino	m i n o
mino	m i n o
isutr~u	i s u tr~ u
minoNa	m i n o N a
mindrano	m i n d r a n o
misotro	m i s o t r o
midroka	m i d r o k a
mindrano	m i n d r a n o
inuNa	i n u N a
inu	i n u
inu	i n u
minoNe	m i n o N e
mino	m i n o
mino	m i n o
igiaga	i g i a g a
magiaka	m a g i a k a
inu	i n u
inun	i n u n
Norih	N o r i h
mihup	m i h u p
mihup	m i h u p
mihup	m i h u p
No7o*t	N o 7 o* t
minum	m i n u m
Norih	N o r i h
is3p	i s 3 p
muru7	m u r u 7
kinuN	k i n u N
kEnuN	k E n u N
kinu	k i n u
yunu	y u n u
inu	i n u
inu	i n u
umun	u m u n
ninu	n i n u
inu	i n u
inu	i n u
inu	i n u
iun	i u n
inu	i n u
nono	n o n o
nimin	n i m i n
nimin	n i m i n
nimin	n i m i n
ino	i n o
nEmni	n E m n i
timn	t i m n
mimil	m i m i l
ninu	n i n u
nan	n a n
gomun	g o m u n
mimn	m i m n
Nimu	N i m u
unu	u n u
unu	u n u
unu	u n u
unu	u n u
lEp	l E p
minu	m i n u
enu	e n u
ninu	n i n u
enoe	e n o e
Enu	E n u
inu	i n u
inu	i n u
ninu	n i n u
inu	i n u
inu	i n u
ginu	g i n u
rinu	r i n u
mEm3le	m E m 3 l e
unuNu	u n u N u
ennino	e n n i n o
min	m i n
en	e n
inu	i n u
minu	m i n u
romun	r o m u n
in	i n
nenum	n e n u m
tenu	t e n u
enu	e n u
ninu	n i n u
husolo	h u s o l o
emnu	e m n u
un	u n
unu	u n u
minu	m i n u
mnu	m n u
eon	e o n
unu	u n u
inuN	i n u N
den	d e n
inav	i n a v
inu	i n u
nun	n u n
nomni	n o m n i
mimno	m i m n o
se	s e
ane	a n e
ninu	n i n u
unu	u n u
uinu	u i n u
ninu	n i n u
minu	m i n u
inu	i n u
inum	i n u m
inum	i n u m
inuN	i n u N
omun	o m u n
isei	i s e i
ise	i s e
se7e	s e 7 e
kinu	k i n u
Ninu	N i n u
ane	a n e
i	i
se	s e
EmEn	E m E n
yomnu	y o m n u
ninu	n i n u
inu	i n u
inuN	i n u N
mimL	m i m L
unu	u n u
renu	r e n u
se	s e
se	s e
se	s e
inun	i n u n
Emn3	E m n 3
inu	i n u
hemu	h e m u
mimni	m i m n i
minu	m i n u
inu	i n u
ninu	n i n u
iun	i u n
nenam	n e n a m
inuN	i n u N
yemin	y e m i n
nu	n u
inuN	i n u N
minu	m i n u
inu	i n u
minu	m i n u
enu	e n u
vimy~o	v i my~ o
anum	a n u m
gimen	g i m e n
minum	m i n u m
Nombe	N o m b e
inum	i n u m
Nombe	N o m b e
ombe	o m b e
nuru7	n u r u 7
nisep	n i s e p
m3k	m 3 k
dui	d u i
meCap	m e C a p
yo7	y o 7
Ni*num	N i* n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninom	N i n o m
inum	i n u m
Ninum	N i n u m
Ninom	N i n o m
Nin3m	N i n 3 m
Ninum	N i n u m
in3m	i n 3 m
inum	i n u m
Ninum	N i n u m
Ninom	N i n o m
Ninom	N i n o m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
Ninum	N i n u m
uman	u m a n
nok	n o k
mok	m o k
nok	n o k
5up	5 u p
indup	i n d u p
manpain	m a n p a i n
nuoh	n u o h
Nemon	N e m o n
minoN	m i n o N
minoN	m i n o N
minoN	m i n o N
Tep	T e p
Ninum	N i n u m
minum	m i n u m
minum	m i n u m
m35um	m 3 5 u m
manhum	m a n h u m
m3nh~um	m 3 nh~ u m
minum	m i n u m
irup	i r u p
minum	m i n u m
minum	m i n u m
minum	m i n u m
minum	m i n u m
binen	b i n e n
minan	m i n a n
minaN	m i n a N
min3N	m i n 3 N
minum	m i n u m
Ninu	N i n u
minum	m i n u m
maken	m a k e n
minoem	m i n o e m
minum	m i n u m
makE ai	m a k E   a i
minoN	m i n o N
minun	m i n u n
inum	i n u m
du7	d u 7
minum	m i n u m
minum	m i n u m
minum	m i n u m
minum	m i n u m
minam	m i n a m
inum	i n u m
mnam	m n a m
Nirop	N i r o p
ToTok	T o T o k
Niop	N i o p
nyieup	n y i e u p
minum	m i n u m
minum	m i n u m
marai	m a r a i
minoN	m i n o N
hui7	h u i 7
o7	o 7
inum	i n u m
7inum	7 i n u m
inum	i n u m
eNinum	e N i n u m
minum	m i n u m
qinum	q i n u m
inom	i n o m
moinum	m o i n u m
minum	m i n u m
mainum	m a i n u m
inum	i n u m
inum	i n u m
inim	i n i m
inom	i n o m
qinum	q i n u m
uminum	u m i n u m
ilimnon	i l i m n o n
qinum	q i n u m
mEginom	m E g i n o m
mEginom	m E g i n o m
in3m	i n 3 m
inim	i n i m
inim	i n i m
inom	i n o m
qinum	q i n u m
qinum	q i n u m
in3m	i n 3 m
imin3m	i m i n 3 m
minum	m i n u m
inim	i n i m
in3m	i n 3 m
in3m	i n 3 m
qinum	q i n u m
qinum	q i n u m
maginom	m a g i n o m
inum	i n u m
minum	m i n u m
qinum	q i n u m
qinum	q i n u m
qinum	q i n u m
qinum	q i n u m
inum	i n u m
qinum	q i n u m
in3m	i n 3 m
7inum	7 i n u m
inim	i n i m
minum	m i n u m
pag7inum	p a g 7 i n u m
inum	i n u m
qinum	q i n u m
qinum	q i n u m
inom	i n o m
inom	i n o m
inom	i n o m
7inum	7 i n u m
inum	i n u m
in3m	i n 3 m
inum	i n u m
mag7~inum	m a g7~ i n u m
mag7inum	m a g 7 i n u m
7inum	7 i n u m
inom	i n o m
paginom	p a g i n o m
ma7am	m a 7 a m
uminum	u m i n u m
matim	m a t i m
amminum	a m m i n u m
inom	i n o m
inum	i n u m
minom	m i n o m
inom	i n o m
uminum	u m i n u m
inum	i n u m
uminom	u m i n o m
magroNroN	m a g r o N r o N
uminom	u m i n o m
omenom	o m e n o m
minum	m i n u m
inom	i n o m
uminum	u m i n u m
uminum	u m i n u m
inum	i n u m
uminum	u m i n u m
inom	i n o m
inum	i n u m
inom	i n o m
inom	i n o m
inom	i n o m
inom	i n o m
inum	i n u m
uminum	u m i n u m
inum	i n u m
uminum	u m i n u m
ominom	o m i n o m
inom	i n o m
ominom	o m i n o m
uminum	u m i n u m
inum	i n u m
man7innum	m a n 7 i n n u m
inum	i n u m
inum	i n u m
maninom	m a n i n o m
ominom	o m i n o m
inum	i n u m
uminum	u m i n u m
uminum	u m i n u m
inom	i n o m
minom	m i n o m
minom	m i n o m
inom	i n o m
uminum	u m i n u m
inom	i n o m
minum	m i n u m
inomen	i n o m e n
inum	i n u m
irup	i r u p
m3sap	m 3 s a p
suba7	s u b a 7
minum	m i n u m
inum	i n u m
minum	m i n u m
Nirop	N i r o p
mesup	m e s u p
niup	n i u p
Ninau	N i n a u
inum	i n u m
tutaN	t u t a N
mesam	m e s a m
meCap	m e C a p
minum	m i n u m
tutaN	t u t a N
mesum	m e s u m
mesap	m e s a p
ru	r u
mosap	m o s a p
C37	C 3 7
Nirup	N i r u p
tuteN	t u t e N
misap	m i s a p
sap	s a p
monginum	m o n g i n u m
mihup	m i h u p
inum	i n u m
inum	i n u m
mirup	m i r u p
miup	m i u p
mesebo	m e s e b o
num	n u m
kin	k i n
wa*yo	w a* y o
cimi	c i m i
unu	u n u
in	i n
inum	i n u m
am5i	a m 5 i
5imia	5 i m i a
inu	i n u
inu	i n u
mni	m n i
inu	i n u
aiNu	a i N u
toma	t o m a
Nanum	N a n u m
yin	y i n
gono	g o n o
meme	m e m e
mini	m i n i
inu	i n u
miNna	m i N n a
Ekembi	E k e m b i
min	m i n
mini	m i n i
min	m i n
nu	n u
inum	i n u m
min	m i n
min	m i n
mun	m u n
yin	y i n
ku	k u
umnu	u m n u
un	u n
ininim	i n i n i m
tono	t o n o
totono	t o t o n o
tono	t o n o
munia	m u n i a
munia	m u n i a
munia	m u n i a
munia	m u n i a
mun	m u n
mene	m e n e
meni	m e n i
mu	m u
liu	l i u
luN	l u N
iap	i a p
ko7u	k o 7 u
ninu	n i n u
karin	k a r i n
krin	k r i n
num	n u m
num	n u m
num	n u m
nEnom	n E n o m
kou	k o u
nom	n o m
num	n u m
numa	n u m a
min	m i n
min	m i n
muni	m u n i
yuga	y u g a
3l	3 l
3l3mi	3 l 3 m i
odu	o d u
unu	u n u
ko7u	k o 7 u
enom	e n o m
mini	m i n i
mini	m i n i
num	n u m
o*	o*
lamanumumpu7	l a m a n u m u m p u 7
i8	i 8
ko7u	k o 7 u
yuya	y u y a
m3n	m 3 n
mEn	m E n
numa	n u m a
go7ufia	g o 7 u f i a
inu	i n u
mb~ei	mb~ e i
kw~i*	kw~ i*
elom	e l o m
inu	i n u
inu	i n u
inu	i n u
idak	i d a k
inim	i n i m
binu	b i n u
min	m i n
kono	k o n o
ku	k u
cavo	c a v o
wai ni Nunu	w a i   n i   N u n u
gunu	g u n u
unu	u n u
cimi	c i m i
numw~ia	n u mw~ i a
inu	i n u
inu	i n u
keomai	k e o m a i
mili	m i l i
imili	i m i l i
inu	i n u
kou	k o u
o8o	o 8 o
nim	n i m
wana	w a n a
uwa	u w a
Ewana	E w a n a
tono	t o n o
inu	i n u
inu	i n u
inu	i n u
ni	n i
napo	n a p o
hanum	h a n u m
iC	i C
walu7ai	w a l u 7 a i
veyemu	v e y e m u
nom	n o m
khuduk	k h u d u k
khudi	k h u d i
tono	t o n o
nda guni	n d a   g u n i
in	i n
eNgunum	e N g u n u m
irum	i r u m
numam	n u m a m
inu	i n u
kinin	k i n i n
num	n u m
xakimbi	x a k i m b i
min	m i n
minmin	m i n m i n
um	u m
tiunt~o	t i u nt~ o
unt~o	u nt~ o
nipo	n i p o
niua	n i u a
7agumu	7 a g u m u
mom	m o m
nima	n i m a
teme	t e m e
kw~uNiya	kw~ u N i y a
ko7u	k o 7 u
kumai	k u m a i
inu	i n u
un	u n
unu	u n u
inum	i n u m
inuinu	i n u i n u
napo	n a p o
n3m	n 3 m
gou	g o u
go7ufi7a	g o 7 u f i 7 a
anumw~i	a n u mw~ i
an3mw~i	a n 3 mw~ i
an3mw~i	a n 3 mw~ i
kw~a7u	kw~ a 7 u
min	m i n
iniNonu	i n i N o n u
un7un	u n 7 u n
inuinu	i n u i n u
in	i n
m3na	m 3 n a
Ng~oNg~o	Ng~ o Ng~ o
in	i n
gou	g o u
inu	i n u
m3n	m 3 n
nom	n o m
iNo	i N o
gw~ou	gw~ o u
un	u n
in	i n
lumw~i	l u mw~ i
ko7u	k o 7 u
munu	m u n u
sun	s u n
amn3m	a m n 3 m
amn3m	a m n 3 m
inu	i n u
inu	i n u
uamun	u a m u n
wu7	w u 7
munia	m u n i a
munia	m u n i a
munia	m u n i a
munia	m u n i a
munia	m u n i a
munia	m u n i a
munia	m u n i a
u7un	u 7 u n
minio	m i n i o
tebeN	t e b e N
akimbi	a k i m b i
inu	i n u
in	i n
minu	m i n u
sim	s i m
in	i n
im	i m
uNu	u N u
mbuku	m b u k u
unu	u n u
ino	i n o
ninin	n i n i n
nini	n i n i
nini	n i n i
inu	i n u
unu	u n u
mun	m u n
kuN	k u N
inu	i n u
inu	i n u
in	i n
in	i n
mEn	m E n
Nk~oNk~o	Nk~ o Nk~ o
min	m i n
min	m i n
siN	s i N
unu	u n u
nanum	n a n u m
inu	i n u
inu	i n u
num	n u m
m3n	m 3 n
enum	e n u m
ko7uko7u	k o 7 u k o 7 u
wonum	w o n u m
mb~ei	mb~ e i
inu	i n u
nimE	n i m E
limE	l i m E
mini	m i n i
nuN	n u N
lumi	l u m i
liuliu	l i u l i u
ku	k u
ku	k u
mbei	m b e i
inu	i n u
win	w i n
inu	i n u
unu	u n u
inu	i n u
sim	s i m
sim	s i m
nim	n i m
momo	m o m o
im	i m
mumwi	m u m w i
nim	n i m
inu	i n u
numa	n u m a
oa	o a
inu	i n u
cimi	c i m i
sim	s i m
sim	s i m
un	u n
ima	i m a
in	i n
inua	i n u a
inu7a	i n u 7 a
inim	i n i m
inim	i n i m
num	n u m
num	n u m
ropi	r o p i
moumw~	m o u mw~
mom	m o m
liu	l i u
liu	l i u
imin	i m i n
munum	m u n u m
munum	m u n u m
munum	m u n u m
munum	m u n u m
emni	e m n i
Ng3	N g 3
inu	i n u
cim	c i m
m3n	m 3 n
in	i n
eren	e r e n
koko	k o k o
Nk~oNk~o	Nk~ o Nk~ o
inu	i n u
3mnu	3 m n u
nengunu	n e n g u n u
ngani	n g a n i
mnu	m n u
inum	i n u m
ku*xu*	k u* x u*
kN~uduk	kN~ u d u k
kua	k u a
num	n u m
inu	i n u
inu	i n u
inu	i n u
inu	i n u
inu	i n u
min	m i n
mnu	m n u
munu	m u n u
munu	m u n u
munuNi	m u n u N i
munu	m u n u
munu	m u n u
inu	i n u
inu	i n u
an3m	a n 3 m
unu	u n u
inu	i n u
numu	n u m u
sim	s i m
a7un	a 7 u n
unum	u n u m
gono	g o n o
min	m i n
kunu5e	k u n u 5 e
kolu	k o l u
muni	m u n i
muni	m u n i
muni	m u n i
in	i n
inum	i n u m
mom	m o m
inu	i n u
inu	i n u
mini	m i n i
numw~	n u mw~
anom	a n o m
nim	n i m
inu	i n u
saNwak	s a N w a k
risi	r i s i
mini	m i n i
inu	i n u
inu	i n u
numi	n u m i
inum	i n u m
inum	i n u m
inum	i n u m
unu	u n u
inu	i n u
inu	i n u
unu	u n u
unumi	u n u m i
unuma	u n u m a
inu	i n u
unu	u n u
unumi	u n u m i
wun	w u n
wunumiy	w u n u m i y
mw~inu	mw~ i n u
mini	m i n i
unu	u n u
inu	i n u
inu	i n u
